"(m-M)",err(m-M),D(Mpc),Method,Refcode,Notes,SN Name,Redshift,H0,LMCModulus
30.76,0.07,14.200,Cepheids,2003A&A...411..361K,cte LMC K03,,,,
30.77,0.07,14.300,Cepheids,2003A&A...411..361K,cte U99,,,,
30.78,0.07,14.300,Cepheids,2001ApJ...553...47F,"42, VI, KEY PROJECT",,,,
30.80,0.07,14.400,Cepheids,2003A&A...411..361K,cte LMC STS02,,,,
30.80,0.06,14.500,Cepheids,2001ApJ...548..564W,LMC W01,,,,
30.82,0.09,14.600,Cepheids,1997ApJ...491...13K,"51, VI",,,,
30.87,0.07,14.900,Cepheids,2003A&A...411..361K,cte MW FSG03,,,,
30.90,0.07,15.100,Cepheids,2003A&A...411..361K,cte MF91,,,,
30.91,0.07,15.200,Cepheids,2001ApJ...553...47F,"42, VI, +Z, KEY PROJECT",,,,
30.93,0.07,15.300,Cepheids,2003A&A...411..361K,cte MW GFG98,,,,
30.96,0.07,15.600,Cepheids,2000ApJ...530L...5G,"35, VI (WF)",,,,
30.98,0.08,15.700,Cepheids,2002A&A...389...19P,MW HIPP,,,,
31.01,0.07,15.900,Cepheids,2003A&A...411..361K,cte MW STS03,,,,
31.03,0.06,16.100,Cepheids,1997ApJ...486...60D,VI(BW),,,,
31.03,0.06,16.100,Cepheids,1997ApJ...486...60D,VK(BW),,,,
31.04,0.09,16.100,Cepheids,1996ApJ...464..568F,"42, VI",,,,
31.04,0.09,16.100,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
31.10,0.15,16.600,Cepheids,1997ApJ...491...13K,"51, VI +Z",,,,
31.15,0.18,17.000,Cepheids,2000ApJ...530L...5G,"6, VI (PC)",,,,
31.16,0.22,17.100,Cepheids,1994Natur.371..757F,,,,,
31.18,0.05,17.200,Cepheids,2006ApJS..165..108S,LMC ZP,,,,18.54
31.18,,17.200,Cepheids,2008A&ARv..15..289T,,,,,18.54
31.19,0.10,17.300,Cepheids,2000ApJ...529..768K,"Z, Key Project",,,,
31.22,0.24,17.500,Cepheids,2002A&A...389...19P,MW P02,,,,
31.35,0.06,18.600,Cepheids,2002A&A...383..398P,"78, VI",,,,
31.35,0.06,18.600,Cepheids,2002A&A...389...19P,MW GFG,,,,
31.65,,21.400,Cepheids,2006A&A...452..423P,"42, VI",,,,
30.34,0.37,11.600,SNIa,2010ApJ...716..712A,SALT 2,SN 2006X,0.00524,74.20,
30.72,0.06,13.900,SNIa,2017ApJ...846...58H,,SN 2006X,,,
30.80,0.30,14.400,SNIa,2008ApJ...689..377W,,SN 2006X,0.00524,72.00,
30.99,0.02,15.800,SNIa,2011AJ....141...19B,,SN 2006X,,72.00,
